state,changing,chevron,cigar,circle,cone,cross,cylinder,diamond,disk,egg,fireball,flash,formation,light,orb,oval,rectangle,sphere,teardrop,triangle,star,cube
AK,15,3,16,71,2,1,13,10,47,2,35,21,17,138,44,38,14,30,1,47,0,0
AL,40,19,42,156,3,5,35,23,85,20,87,20,41,270,68,55,32,75,9,143,6,0
AR,33,22,36,132,4,4,29,17,72,8,51,28,35,252,55,42,14,50,9,151,2,1
AZ,179,56,111,481,30,17,79,68,258,51,326,86,241,1059,274,202,112,240,46,404,12,1
CA,570,255,382,1637,70,62,266,272,1028,161,1186,266,597,3117,763,712,295,919,147,1385,24,4
CO,97,73,89,303,10,14,64,38,183,28,159,70,151,587,202,142,67,202,27,346,1,3
CT,52,22,59,235,8,10,37,32,109,19,163,28,44,331,78,93,51,99,28,176,5,0
DE,12,5,2,59,1,0,5,6,26,5,29,6,16,62,29,17,10,28,4,61,2,0
FL,277,133,198,899,27,31,158,121,458,68,807,128,246,1489,412,395,159,456,72,714,22,6
GA,83,26,87,316,12,12,47,38,176,26,196,48,70,500,126,113,49,161,22,257,9,1
HI,19,5,12,70,5,2,10,9,31,7,49,18,22,171,34,25,11,41,2,41,2,1
IA,37,21,27,112,3,1,17,12,61,4,83,23,43,284,48,54,19,57,13,156,1,2
ID,37,22,35,130,9,6,18,15,76,7,81,26,52,310,78,47,20,58,8,116,3,0
IL,107,53,89,428,8,17,69,56,252,46,322,64,171,896,185,184,79,214,31,466,7,3
IN,54,20,63,262,8,6,48,31,171,12,160,49,82,496,112,107,42,128,19,260,2,2
KS,28,16,41,103,5,11,21,19,65,12,72,21,41,261,64,32,20,44,16,124,1,1
KY,61,22,65,200,2,6,25,32,126,10,106,19,39,305,96,64,35,78,12,192,1,1
LA,34,12,48,116,2,4,22,8,68,4,62,14,39,215,46,60,25,66,18,138,5,0
MA,76,36,66,267,13,9,47,51,171,27,182,35,73,484,130,152,51,177,25,259,12,2
MD,57,25,61,192,4,0,34,30,121,19,113,37,65,354,82,105,40,97,11,177,3,1
ME,24,8,29,138,0,14,19,21,64,6,73,23,29,271,62,56,15,77,11,116,6,3
MI,88,18,88,356,19,10,56,55,235,29,274,51,142,718,152,169,81,185,30,403,4,1
MN,53,36,63,235,5,7,23,28,120,20,116,41,90,440,104,87,58,115,18,221,4,3
MO,83,51,81,224,8,6,69,43,163,11,187,37,69,539,114,99,55,147,24,329,7,1
MS,21,7,23,83,2,3,24,14,64,11,58,17,18,136,27,38,10,46,7,95,2,0
MT,20,14,23,87,3,3,13,15,60,6,83,27,31,206,56,40,11,45,8,86,4,3
NC,102,46,115,411,15,17,70,50,210,29,239,56,138,717,236,150,84,193,28,340,9,4
ND,9,3,9,25,0,0,3,5,18,2,11,5,13,37,7,9,6,9,3,36,1,0
NE,14,10,24,70,3,1,12,13,33,4,38,11,23,147,32,32,22,43,11,60,1,0
NH,37,11,39,120,6,5,22,24,67,7,61,12,36,227,59,42,37,68,8,120,2,0
NJ,80,25,73,337,18,11,41,53,221,29,204,53,82,469,145,164,59,159,20,256,5,2
NM,68,14,44,151,15,6,35,26,114,16,86,34,57,330,95,74,35,76,22,118,4,2
NV,59,24,40,155,8,6,30,18,92,12,87,30,66,327,88,99,34,101,28,120,5,2
NY,172,78,172,672,28,33,108,100,423,74,404,100,182,1037,298,305,110,300,55,513,10,4
OH,131,37,117,445,29,19,97,63,254,37,363,68,144,775,222,201,84,254,33,452,6,0
OK,56,14,50,143,10,5,31,14,86,13,83,23,55,297,82,57,41,60,13,152,4,5
OR,119,37,96,360,9,11,56,48,187,29,230,84,128,743,208,152,71,197,25,284,4,4
PA,128,41,159,544,29,19,94,75,293,44,416,65,172,935,230,247,90,264,42,491,11,3
RI,11,10,16,69,3,2,10,14,46,12,40,7,22,117,33,16,11,30,8,46,0,0
SC,72,21,54,248,8,7,38,31,103,12,159,48,85,475,146,79,35,135,16,205,2,0
SD,9,9,10,41,0,1,9,4,20,4,24,7,18,87,12,20,6,15,4,39,0,1
TN,71,25,93,233,8,6,65,35,142,22,145,37,70,397,101,112,39,130,17,253,5,0
TX,205,97,200,592,21,17,116,96,397,50,326,98,205,1196,273,334,127,324,63,634,13,6
UT,57,23,39,160,10,4,26,17,109,12,87,30,71,321,71,58,23,75,19,140,2,4
VA,76,43,77,286,13,6,50,40,168,29,184,52,89,489,128,120,52,149,18,255,4,3
VT,13,3,20,63,4,5,15,7,30,5,41,13,23,126,42,24,14,33,3,50,1,0
WA,190,89,130,623,24,24,125,94,363,58,536,136,229,1414,390,304,106,362,45,567,17,2
WI,59,22,68,253,12,9,34,43,126,19,195,41,111,534,132,92,41,119,27,228,2,1
WV,21,13,21,107,2,4,30,10,54,10,53,11,27,185,31,46,11,40,7,97,2,2
WY,11,7,10,42,2,0,10,4,16,7,26,6,19,85,24,18,4,30,4,33,1,0
