shape,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
changing,0.03973242641612555,-0.0010342061102481552,-0.178386631574236,-0.030487394542208356,0.23063854245614998,-0.15244484143469686,0.04879589673727336,0.02278936519837125,0.10574206834890265,0.030720972933337438,0.8641862521267712,0.12961744030652672,0.10053736700883761,0.04733628866237761,-0.053794270656275095,0.14454824267239527,0.03931690058757659,0.020149178190492893,-0.1085367341700035,-0.11844041025654341,0.03521502173342752,0.21320071635561
chevron,7.705095454791125e-4,0.08133053885692729,-0.01897958947903747,0.012929469502068212,0.1027840248725552,0.022653947687858764,0.18783884730337447,-0.01148716105141535,-0.28108003431512874,-0.1723609031621558,0.043758047147656916,-0.6888306888988098,0.3820330381722375,-0.2271227236715262,-0.24967976990850094,-0.1438817037833327,0.027243837626733707,-0.12695458954007197,0.09843747106984267,0.020124195575221618,0.09089770614500119,0.21320071635561078
cigar,0.05195717638231217,0.08704900954554204,-0.19303254657811433,-0.22630292493665755,0.08508880822903622,-0.043951219474302444,-0.23020786322031214,-0.5968679847550031,0.18355946103060697,-0.16671970208101025,-0.2306757297130412,0.21142557217096405,0.4121232952790974,0.1816499098693895,-0.23151615554442936,0.0041171204486198055,-0.05060510921008458,0.13584172470387512,-0.014839751050002185,-0.01370906993014444,0.009609527142466198,0.2132007163556108
circle,0.15322786132722419,-0.2161174819908973,0.05652639235079413,0.22175510810823437,-0.7131478279174058,0.3266850946063046,0.3235721333299322,-0.13223921204867808,0.17354467216090164,-0.051638326213625955,0.1403444640474414,0.07337837547940941,0.11114933699026744,0.05933596473258904,-0.07743267158471917,-0.05334631169672232,0.09701973759270967,0.025161790969806246,2.482433481507326e-4,-0.025938443042897483,0.034635620818893584,0.21320071635561044
cone,-0.0276112570052032,-0.0481541524022297,-0.030578656118001587,-0.0016484378767219602,0.03379514572134376,-0.07099356154276877,-0.009110427774809254,-0.033621642606301225,-0.019387307655784614,0.017659032981259183,0.07574848228860971,0.08041138194717694,-0.17962605005841162,0.05770228207718358,0.04066766914854091,-0.1466676022129915,-0.0813191608302248,0.11676937228116749,0.9212979526373418,0.029785545999547143,0.0394211877808604,0.2132007163556108
cross,-0.019641237684754294,-0.012136413556563206,0.014381358292499402,-0.005996165953591341,-0.04701503856080128,-0.009598008519763862,-0.08634310599311577,-0.08650108058775788,0.00473171044088575,-0.048627701321942815,-0.0484478595666796,-0.009925627102469962,-0.015712575300659382,0.19062168013663133,0.2839877980415593,0.13596484041958135,-0.26545855413838787,-0.8004929159652461,0.02742972514250669,-0.25658635129098534,0.13465374493244214,0.21320071635561086
cylinder,0.015472703889934481,0.01427689174679664,-0.005578788937163211,-0.1475260366775018,0.028435316896127976,0.17443272407487134,-0.14489012546179228,-0.12038446984663559,-0.25799358715846094,-0.6104122391376409,0.06830591029173577,0.151746893038556,-0.4448956468010665,-0.2014676751990193,0.025128991680695986,-0.12869509239255544,0.3507990444768519,-0.0723009731242894,-0.112231896700662,0.04374788335926638,0.014734817177821356,0.21320071635561041
diamond,0.03700287515156483,-0.04680859143148559,-0.013067861993501758,-0.0637697453976835,-0.08977048711315933,-0.10082487093463548,-0.05386258734688572,-0.12104784702733637,-0.11764932864156304,0.2757200086911692,-0.12895607684560545,-0.08402551690827532,0.008648505470984549,-0.22451880587970885,0.11774786132223894,0.709310713427069,0.46120573402740833,0.011202558035595766,0.11309865147511916,0.041886342113950883,-0.05064695145673637,0.21320071635561053
disk,0.19446451376255194,-0.06035555193560493,-0.20981157494378763,-0.4785561383808427,-0.33473961170801564,-0.35006085377856455,-0.06607600101877276,0.2822952762520343,-0.28137419761924165,0.25585988095134765,-0.07014368111151333,0.02743771451168642,-0.10388507395110176,0.18813877175508875,-0.23127584849137983,-0.22806408192376615,0.032884653927937595,-0.03747666485553881,-0.11934222816240635,-0.009325598660186604,0.05084588189014633,0.2132007163556102
egg,0.017957110113901675,-0.06956559260685351,0.0012905436746571974,0.006797292387122079,-0.02483366765081111,-0.017813552577766914,0.20070177375273734,-0.09589621009799063,-0.33419173618683345,-0.11176341828515979,-0.06283807434743467,-5.691518691823939e-4,-0.20033894993351564,-0.1097620735892923,0.0357299539016499,0.3071371944302205,-0.635974963359971,0.3828079738164966,-0.137175156977769,-0.229338776818567,0.024240901452449615,0.2132007163556104
fireball,-0.024066562264970965,-0.3309015708440672,0.8221220174513344,-0.10296809915200952,0.13052613599095692,-0.307193031218348,0.012402165465658185,-0.035681009901693865,0.129490725656165,-0.02531386001235532,-0.008534445541510718,0.021134636561035643,0.03053185596403263,0.018016008106804367,-0.10197596746112696,-0.0741184930972602,0.049439021579272865,0.03026285163685927,-0.06989865374441047,-0.0326042186278834,0.027664108993009584,0.21320071635560997
