id,name,state_abbreviation,population_raw_value,cluster,cluster_label
02290,Yukon-Koyukuk Census Area,AK,5129,1,Advantaged socioeconomic profile
01009,Blount County,AL,59816,1,Advantaged socioeconomic profile
01017,Chambers County,AL,34079,1,Advantaged socioeconomic profile
01019,Cherokee County,AL,25666,1,Advantaged socioeconomic profile
01021,Chilton County,AL,46431,1,Advantaged socioeconomic profile
01025,Clarke County,AL,22337,1,Advantaged socioeconomic profile
01027,Clay County,AL,14111,1,Advantaged socioeconomic profile
01029,Cleburne County,AL,15639,1,Advantaged socioeconomic profile
01031,Coffee County,AL,55643,1,Advantaged socioeconomic profile
01033,Colbert County,AL,58361,1,Advantaged socioeconomic profile
01041,Crenshaw County,AL,13101,1,Advantaged socioeconomic profile
01043,Cullman County,AL,92016,1,Advantaged socioeconomic profile
01045,Dale County,AL,49871,1,Advantaged socioeconomic profile
01049,DeKalb County,AL,72569,1,Advantaged socioeconomic profile
01057,Fayette County,AL,15967,1,Advantaged socioeconomic profile
01061,Geneva County,AL,26988,1,Advantaged socioeconomic profile
01067,Henry County,AL,17899,1,Advantaged socioeconomic profile
01071,Jackson County,AL,53467,1,Advantaged socioeconomic profile
01079,Lawrence County,AL,33502,1,Advantaged socioeconomic profile
01091,Marengo County,AL,18684,1,Advantaged socioeconomic profile
01093,Marion County,AL,29244,1,Advantaged socioeconomic profile
01095,Marshall County,AL,100756,1,Advantaged socioeconomic profile
01111,Randolph County,AL,22786,1,Advantaged socioeconomic profile
01123,Tallapoosa County,AL,40677,1,Advantaged socioeconomic profile
01129,Washington County,AL,15022,1,Advantaged socioeconomic profile
05000,Arkansas,AR,3067732,1,Advantaged socioeconomic profile
05001,Arkansas County,AR,16307,1,Advantaged socioeconomic profile
05005,Baxter County,AR,42875,1,Advantaged socioeconomic profile
05011,Bradley County,AR,10104,1,Advantaged socioeconomic profile
05013,Calhoun County,AR,4641,1,Advantaged socioeconomic profile
05015,Carroll County,AR,28814,1,Advantaged socioeconomic profile
05021,Clay County,AR,14201,1,Advantaged socioeconomic profile
05023,Cleburne County,AR,25445,1,Advantaged socioeconomic profile
05029,Conway County,AR,21077,1,Advantaged socioeconomic profile
05039,Dallas County,AR,6185,1,Advantaged socioeconomic profile
05047,Franklin County,AR,17468,1,Advantaged socioeconomic profile
05049,Fulton County,AR,12421,1,Advantaged socioeconomic profile
05053,Grant County,AR,18383,1,Advantaged socioeconomic profile
05057,Hempstead County,AR,19343,1,Advantaged socioeconomic profile
05059,Hot Spring County,AR,33258,1,Advantaged socioeconomic profile
05061,Howard County,AR,12533,1,Advantaged socioeconomic profile
05065,Izard County,AR,14169,1,Advantaged socioeconomic profile
05073,Lafayette County,AR,6095,1,Advantaged socioeconomic profile
05075,Lawrence County,AR,16318,1,Advantaged socioeconomic profile
05079,Lincoln County,AR,12898,1,Advantaged socioeconomic profile
05081,Little River County,AR,11805,1,Advantaged socioeconomic profile
05083,Logan County,AR,21400,1,Advantaged socioeconomic profile
05087,Madison County,AR,17775,1,Advantaged socioeconomic profile
05089,Marion County,AR,17514,1,Advantaged socioeconomic profile
05097,Montgomery County,AR,8620,1,Advantaged socioeconomic profile
05103,Ouachita County,AR,21793,1,Advantaged socioeconomic profile
05105,Perry County,AR,10184,1,Advantaged socioeconomic profile
05109,Pike County,AR,10208,1,Advantaged socioeconomic profile
05111,Poinsett County,AR,22397,1,Advantaged socioeconomic profile
05117,Prairie County,AR,8036,1,Advantaged socioeconomic profile
05121,Randolph County,AR,18907,1,Advantaged socioeconomic profile
05129,Searcy County,AR,7806,1,Advantaged socioeconomic profile
05133,Sevier County,AR,15632,1,Advantaged socioeconomic profile
05135,Sharp County,AR,17968,1,Advantaged socioeconomic profile
05137,Stone County,AR,12671,1,Advantaged socioeconomic profile
05141,Van Buren County,AR,16142,1,Advantaged socioeconomic profile
05145,White County,AR,78452,1,Advantaged socioeconomic profile
05149,Yell County,AR,20044,1,Advantaged socioeconomic profile
04001,Apache County,AZ,65036,1,Advantaged socioeconomic profile
04003,Cochise County,AZ,124640,1,Advantaged socioeconomic profile
04012,La Paz County,AZ,16710,1,Advantaged socioeconomic profile
04015,Mohave County,AZ,223682,1,Advantaged socioeconomic profile
04017,Navajo County,AZ,109175,1,Advantaged socioeconomic profile
04023,Santa Cruz County,AZ,49158,1,Advantaged socioeconomic profile
04027,Yuma County,AZ,213221,1,Advantaged socioeconomic profile
08021,Conejos County,CO,7521,1,Advantaged socioeconomic profile
08063,Kit Carson County,CO,6994,1,Advantaged socioeconomic profile
08083,Montezuma County,CO,26531,1,Advantaged socioeconomic profile
08095,Phillips County,CO,4476,1,Advantaged socioeconomic profile
08099,Prowers County,CO,11751,1,Advantaged socioeconomic profile
08105,Rio Grande County,CO,11188,1,Advantaged socioeconomic profile
08115,Sedgwick County,CO,2299,1,Advantaged socioeconomic profile
12013,Calhoun County,FL,13470,1,Advantaged socioeconomic profile
12023,Columbia County,FL,73063,1,Advantaged socioeconomic profile
12027,DeSoto County,FL,35979,1,Advantaged socioeconomic profile
12029,Dixie County,FL,17465,1,Advantaged socioeconomic profile
12037,Franklin County,FL,12594,1,Advantaged socioeconomic profile
12041,Gilchrist County,FL,19587,1,Advantaged socioeconomic profile
12045,Gulf County,FL,15693,1,Advantaged socioeconomic profile
12049,Hardee County,FL,25760,1,Advantaged socioeconomic profile
12053,Hernando County,FL,212807,1,Advantaged socioeconomic profile
12055,Highlands County,FL,107614,1,Advantaged socioeconomic profile
12059,Holmes County,FL,19944,1,Advantaged socioeconomic profile
12067,Lafayette County,FL,8078,1,Advantaged socioeconomic profile
12075,Levy County,FL,46545,1,Advantaged socioeconomic profile
12121,Suwannee County,FL,46130,1,Advantaged socioeconomic profile
12123,Taylor County,FL,21582,1,Advantaged socioeconomic profile
12125,Union County,FL,15532,1,Advantaged socioeconomic profile
12133,Washington County,FL,25602,1,Advantaged socioeconomic profile
13001,Appling County,GA,18457,1,Advantaged socioeconomic profile
13011,Banks County,GA,19789,1,Advantaged socioeconomic profile
13013,Barrow County,GA,92792,1,Advantaged socioeconomic profile
13025,Brantley County,GA,18401,1,Advantaged socioeconomic profile
13035,Butts County,GA,26887,1,Advantaged socioeconomic profile
13055,Chattooga County,GA,25222,1,Advantaged socioeconomic profile
13065,Clinch County,GA,6746,1,Advantaged socioeconomic profile
13079,Crawford County,GA,12277,1,Advantaged socioeconomic profile
13083,Dade County,GA,16165,1,Advantaged socioeconomic profile
13111,Fannin County,GA,25955,1,Advantaged socioeconomic profile
13123,Gilmer County,GA,32860,1,Advantaged socioeconomic profile
13125,Glascock County,GA,2954,1,Advantaged socioeconomic profile
13129,Gordon County,GA,59757,1,Advantaged socioeconomic profile
13133,Greene County,GA,20722,1,Advantaged socioeconomic profile
13137,Habersham County,GA,48757,1,Advantaged socioeconomic profile
13143,Haralson County,GA,32038,1,Advantaged socioeconomic profile
13147,Hart County,GA,27556,1,Advantaged socioeconomic profile
13149,Heard County,GA,12034,1,Advantaged socioeconomic profile
13159,Jasper County,GA,16455,1,Advantaged socioeconomic profile
